Display Name,Time,Op Gas Rate,Op Water Rate,Entity Name,API Number
21-06,04/01/1977 12:00:00 AM,6582.8,,KENAI UNIT,50133100900000
21-06,05/01/1977 12:00:00 AM,6970.9,,KENAI UNIT,50133100900000
21-06,06/01/1977 12:00:00 AM,8175.7,,KENAI UNIT,50133100900000
21-06,07/01/1977 12:00:00 AM,10989.2,,KENAI UNIT,50133100900000
21-06,08/01/1977 12:00:00 AM,10574.6,,KENAI UNIT,50133100900000
21-06,09/01/1977 12:00:00 AM,8625.1,,KENAI UNIT,50133100900000
21-06,10/01/1977 12:00:00 AM,8252.9,,KENAI UNIT,50133100900000
21-06,11/01/1977 12:00:00 AM,9834.2,,KENAI UNIT,50133100900000
21-06,12/01/1977 12:00:00 AM,9873.6,,KENAI UNIT,50133100900000
21-06,01/01/1978 12:00:00 AM,8286.9,,KENAI UNIT,50133100900000
21-06,02/01/1978 12:00:00 AM,9018.8,,KENAI UNIT,50133100900000
21-06,03/01/1978 12:00:00 AM,8784.3,,KENAI UNIT,50133100900000
21-06,04/01/1978 12:00:00 AM,7110.4,,KENAI UNIT,50133100900000
21-06,05/01/1978 12:00:00 AM,8133.4,,KENAI UNIT,50133100900000
21-06,06/01/1978 12:00:00 AM,7463.5,,KENAI UNIT,50133100900000
21-06,07/01/1978 12:00:00 AM,9061.3,,KENAI UNIT,50133100900000
21-06,08/01/1978 12:00:00 AM,9228.9,,KENAI UNIT,50133100900000
21-06,09/01/1978 12:00:00 AM,8800.9,,KENAI UNIT,50133100900000
21-06,10/01/1978 12:00:00 AM,11344.4,,KENAI UNIT,50133100900000
21-06,11/01/1978 12:00:00 AM,10625.5,,KENAI UNIT,50133100900000
21-06,12/01/1978 12:00:00 AM,10140.5,,KENAI UNIT,50133100900000
21-06,01/01/1979 12:00:00 AM,9113.5,,KENAI UNIT,50133100900000
21-06,02/01/1979 12:00:00 AM,10123.9,,KENAI UNIT,50133100900000
21-06,03/01/1979 12:00:00 AM,8727.6,,KENAI UNIT,50133100900000
21-06,04/01/1979 12:00:00 AM,9176.9,,KENAI UNIT,50133100900000
21-06,05/01/1979 12:00:00 AM,11645.2,,KENAI UNIT,50133100900000
21-06,06/01/1979 12:00:00 AM,9428.5,,KENAI UNIT,50133100900000
21-06,07/01/1979 12:00:00 AM,7896.5,,KENAI UNIT,50133100900000
21-06,08/01/1979 12:00:00 AM,9253.5,,KENAI UNIT,50133100900000
21-06,09/01/1979 12:00:00 AM,9682.5,,KENAI UNIT,50133100900000
21-06,10/01/1979 12:00:00 AM,8621.8,,KENAI UNIT,50133100900000
21-06,11/01/1979 12:00:00 AM,7588.3,,KENAI UNIT,50133100900000
